"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017년 06월 01일","6,246.83","6,215.91","6,247.07","6,200.45","502.29M","0.78%"
"2017년 05월 31일","6,198.52","6,221.62","6,221.99","6,164.07","697.15M","-0.08%"
"2017년 05월 30일","6,203.19","6,204.18","6,217.13","6,200.41","402.25M","-0.11%"
"2017년 05월 26일","6,210.19","6,207.04","6,211.52","6,196.66","373.96M","0.08%"
"2017년 05월 25일","6,205.26","6,183.02","6,217.34","6,174.52","417.08M","0.69%"
"2017년 05월 24일","6,163.02","6,154.18","6,166.09","6,139.33","400.25M","0.40%"
"2017년 05월 23일","6,138.71","6,149.55","6,150.91","6,121.79","407.73M","0.08%"
"2017년 05월 22일","6,133.62","6,098.25","6,135.92","6,097.24","421.95M","0.82%"
"2017년 05월 19일","6,083.70","6,070.23","6,106.55","6,070.23","517.15M","0.47%"
"2017년 05월 18일","6,055.13","5,998.46","6,073.45","5,996.81","511.17M","0.73%"
"2017년 05월 17일","6,011.24","6,108.62","6,122.87","6,009.48","565.78M","-2.57%"
"2017년 05월 16일","6,169.87","6,160.52","6,170.16","6,139.10","460.05M","0.33%"
"2017년 05월 15일","6,149.67","6,128.11","6,153.04","6,124.79","452.00M","0.46%"
"2017년 05월 12일","6,121.23","6,119.27","6,122.84","6,105.42","412.46M","0.09%"
"2017년 05월 11일","6,115.96","6,110.05","6,120.20","6,075.68","452.52M","-0.22%"
"2017년 05월 10일","6,129.14","6,121.64","6,131.64","6,103.87","482.51M","0.14%"
"2017년 05월 09일","6,120.59","6,111.82","6,133.00","6,107.59","466.70M","0.29%"
"2017년 05월 08일","6,102.66","6,100.66","6,106.12","6,083.06","459.30M","0.03%"
"2017년 05월 05일","6,100.76","6,091.69","6,100.76","6,067.15","443.62M","0.42%"
"2017년 05월 04일","6,075.34","6,075.06","6,080.82","6,054.32","481.85M","0.05%"
"2017년 05월 03일","6,072.55","6,075.04","6,076.96","6,053.28","498.86M","-0.37%"
"2017년 05월 02일","6,095.37","6,102.51","6,102.72","6,081.56","498.62M","0.06%"
"2017년 05월 01일","6,091.60","6,067.56","6,100.73","6,061.35","416.34M","0.73%"
"2017년 04월 28일","6,047.61","6,072.87","6,074.04","6,040.71","523.42M","-0.02%"
"2017년 04월 27일","6,048.94","6,038.47","6,050.70","6,031.59","461.83M","0.39%"
"2017년 04월 26일","6,025.23","6,028.12","6,040.89","6,021.72","454.58M","-0.00%"
"2017년 04월 25일","6,025.49","6,004.16","6,036.02","6,002.65","441.93M","0.70%"
"2017년 04월 24일","5,983.82","5,979.96","5,989.92","5,970.25","446.56M","1.24%"
"2017년 04월 21일","5,910.52","5,919.02","5,919.23","5,899.43","454.58M","-0.11%"
"2017년 04월 20일","5,916.78","5,887.87","5,926.23","5,880.19","417.89M","0.92%"
"2017년 04월 19일","5,863.03","5,874.43","5,894.68","5,856.34","415.53M","0.23%"
"2017년 04월 18일","5,849.47","5,838.59","5,860.04","5,828.57","391.18M","-0.12%"
"2017년 04월 17일","5,856.79","5,821.55","5,856.79","5,818.20","346.62M","0.89%"
"2017년 04월 13일","5,805.15","5,828.37","5,856.54","5,805.15","384.04M","-0.53%"
"2017년 04월 12일","5,836.16","5,863.59","5,868.09","5,830.44","408.74M","-0.52%"
"2017년 04월 11일","5,866.77","5,871.16","5,878.94","5,819.29","449.36M","-0.24%"
"2017년 04월 10일","5,880.93","5,883.43","5,907.85","5,865.56","389.31M","0.05%"
"2017년 04월 07일","5,877.81","5,873.94","5,892.07","5,855.51","414.27M","-0.02%"
"2017년 04월 06일","5,878.95","5,870.52","5,889.58","5,856.22","448.41M","0.25%"
"2017년 04월 05일","5,864.48","5,911.92","5,936.39","5,856.26","555.35M","-0.58%"
"2017년 04월 04일","5,898.61","5,878.76","5,901.39","5,878.76","445.39M","0.07%"
"2017년 04월 03일","5,894.68","5,917.31","5,928.93","5,867.73","453.50M","-0.29%"
"2017년 03월 31일","5,911.74","5,905.63","5,927.81","5,901.77","529.14M","-0.04%"
"2017년 03월 30일","5,914.34","5,896.15","5,916.77","5,894.00","396.49M","0.28%"
"2017년 03월 29일","5,897.55","5,875.35","5,900.87","5,870.93","397.14M","0.38%"
"2017년 03월 28일","5,875.14","5,836.50","5,888.70","5,828.86","437.23M","0.60%"
"2017년 03월 27일","5,840.37","5,776.33","5,849.20","5,769.39","410.07M","0.20%"
"2017년 03월 24일","5,828.74","5,839.33","5,858.95","5,807.83","456.99M","0.19%"
"2017년 03월 23일","5,817.69","5,812.31","5,842.82","5,806.98","414.69M","-0.07%"
"2017년 03월 22일","5,821.64","5,790.59","5,825.67","5,781.81","442.89M","0.48%"
