"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 05월 12일","1,977.49","1,973.28","1,981.49","1,970.54","462.88M","-0.13%"
"2016년 05월 11일","1,980.10","1,989.17","1,989.17","1,970.48","398.53M","-0.12%"
"2016년 05월 10일","1,982.50","1,965.86","1,982.50","1,964.90","369.08M","0.75%"
"2016년 05월 09일","1,967.81","1,974.52","1,976.14","1,962.92","342.19M","-0.45%"
"2016년 05월 04일","1,976.71","1,978.24","1,982.38","1,969.22","352.70M","-0.49%"
"2016년 05월 03일","1,986.41","1,988.34","1,989.41","1,979.66","310.49M","0.42%"
"2016년 05월 02일","1,978.15","1,991.84","1,991.84","1,977.03","328.20M","-0.80%"
"2016년 04월 29일","1,994.15","1,998.68","1,999.34","1,983.30","401.06M","-0.34%"
"2016년 04월 28일","2,000.93","2,020.83","2,022.99","1,998.60","341.14M","-0.72%"
"2016년 04월 27일","2,015.40","2,019.31","2,019.86","2,012.75","412.80M","-0.21%"
"2016년 04월 26일","2,019.63","2,013.26","2,021.59","2,011.85","509.28M","0.25%"
"2016년 04월 25일","2,014.55","2,016.05","2,016.65","2,007.18","397.68M","-0.05%"
"2016년 04월 22일","2,015.49","2,014.93","2,017.90","2,010.94","480.47M","-0.33%"
"2016년 04월 21일","2,022.10","2,014.60","2,022.10","2,009.45","392.10M","0.81%"
"2016년 04월 20일","2,005.83","2,017.05","2,023.77","2,005.82","423.96M","-0.27%"
"2016년 04월 19일","2,011.36","2,015.10","2,020.29","2,007.68","401.24M","0.11%"
"2016년 04월 18일","2,009.10","2,001.35","2,009.55","1,998.49","339.25M","-0.28%"
"2016년 04월 15일","2,014.71","2,013.38","2,016.95","2,008.68","317.71M","-0.06%"
"2016년 04월 14일","2,015.93","2,004.15","2,016.03","2,000.83","473.52M","1.75%"
"2016년 04월 12일","1,981.32","1,970.50","1,981.73","1,968.50","387.32M","0.56%"
"2016년 04월 11일","1,970.37","1,972.25","1,973.90","1,963.21","379.54M","-0.09%"
"2016년 04월 08일","1,972.05","1,961.29","1,972.12","1,954.11","400.62M","-0.09%"
"2016년 04월 07일","1,973.89","1,978.75","1,980.43","1,964.99","434.06M","0.13%"
