"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 02일","27,783.04","28,109.74","28,109.84","27,782.35","236.61M","-0.96%"
"2019년 11월 29일","28,051.41","28,103.16","28,119.51","28,042.53","122.62M","-0.40%"
"2019년 11월 27일","28,164.00","28,156.47","28,174.97","28,075.23","198.21M","0.15%"
"2019년 11월 26일","28,121.68","28,080.75","28,146.02","28,042.21","329.80M","0.20%"
"2019년 11월 25일","28,066.47","27,917.77","28,068.69","27,917.77","248.42M","0.68%"
"2019년 11월 22일","27,875.62","27,831.23","27,898.46","27,773.98","218.58M","0.39%"
"2019년 11월 21일","27,766.29","27,820.28","27,828.33","27,708.34","232.02M","-0.20%"
"2019년 11월 20일","27,821.09","27,879.55","27,897.28","27,675.28","260.24M","-0.40%"
"2019년 11월 19일","27,934.02","28,079.76","28,090.21","27,894.52","256.62M","-0.36%"
"2019년 11월 18일","28,036.22","27,993.22","28,040.97","27,969.24","252.32M","0.11%"
"2019년 11월 15일","28,004.89","27,843.54","28,004.89","27,843.54","288.91M","0.80%"
"2019년 11월 14일","27,781.96","27,757.20","27,800.71","27,676.97","303.97M","-0.01%"
"2019년 11월 13일","27,783.59","27,622.04","27,806.40","27,587.20","278.39M","0.33%"
"2019년 11월 12일","27,691.49","27,701.59","27,770.86","27,635.32","213.67M","0.00%"
"2019년 11월 11일","27,691.49","27,580.66","27,714.39","27,517.67","204.62M","0.04%"
"2019년 11월 08일","27,681.24","27,686.20","27,694.95","27,578.97","222.79M","0.02%"
"2019년 11월 07일","27,674.80","27,590.16","27,774.67","27,590.16","263.58M","0.66%"
"2019년 11월 06일","27,492.56","27,502.74","27,526.05","27,407.81","243.19M","-0.00%"
"2019년 11월 05일","27,492.63","27,500.23","27,560.36","27,453.55","293.96M","0.11%"
"2019년 11월 04일","27,462.11","27,402.06","27,517.58","27,402.06","273.03M","0.42%"
"2019년 11월 01일","27,347.36","27,142.95","27,347.43","27,142.95","272.07M","1.11%"
"2019년 10월 31일","27,046.23","27,188.37","27,188.37","26,918.29","273.83M","-0.52%"
"2019년 10월 30일","27,186.69","27,110.71","27,204.36","26,999.64","231.75M","0.43%"
"2019년 10월 29일","27,071.42","27,061.07","27,165.94","27,039.76","269.61M","-0.07%"
"2019년 10월 28일","27,090.72","27,040.33","27,167.88","27,028.71","290.77M","0.49%"
"2019년 10월 25일","26,958.06","26,789.61","27,015.37","26,765.68","274.61M","0.57%"
"2019년 10월 24일","26,805.53","26,893.93","26,931.78","26,714.34","259.64M","-0.11%"
"2019년 10월 23일","26,833.95","26,835.24","26,896.89","26,745.00","247.68M","0.17%"
"2019년 10월 22일","26,788.10","26,850.43","26,946.64","26,782.61","265.51M","-0.15%"
"2019년 10월 21일","26,827.64","26,852.67","26,852.67","26,747.62","241.03M","0.21%"
"2019년 10월 18일","26,770.20","27,004.49","27,018.25","26,770.13","293.61M","-0.95%"
"2019년 10월 17일","27,025.88","27,032.38","27,112.16","26,970.29","225.06M","0.09%"
"2019년 10월 16일","27,001.98","26,972.31","27,058.34","26,943.29","218.24M","-0.08%"
"2019년 10월 15일","27,024.80","26,811.20","27,120.11","26,811.20","247.48M","0.89%"
"2019년 10월 14일","26,787.36","26,766.43","26,874.33","26,749.18","178.62M","-0.11%"
"2019년 10월 11일","26,816.59","26,694.20","27,013.97","26,694.20","283.53M","1.21%"
"2019년 10월 10일","26,496.67","26,317.35","26,603.31","26,314.51","217.68M","0.57%"
"2019년 10월 09일","26,346.01","26,308.23","26,424.31","26,249.75","191.75M","0.70%"
"2019년 10월 08일","26,164.04","26,276.59","26,421.81","26,139.80","251.42M","-1.19%"
"2019년 10월 07일","26,478.02","26,502.33","26,655.84","26,424.54","197.51M","-0.36%"
"2019년 10월 04일","26,573.72","26,271.70","26,590.74","26,271.70","224.49M","1.42%"
"2019년 10월 03일","26,201.04","26,039.02","26,205.20","25,743.46","249.02M","0.47%"
"2019년 10월 02일","26,078.62","26,425.86","26,438.04","25,974.12","312.73M","-1.86%"
"2019년 10월 01일","26,573.04","26,962.54","27,046.21","26,562.22","272.18M","-1.28%"
"2019년 09월 30일","26,916.83","26,852.33","26,998.86","26,852.33","228.48M","0.36%"
"2019년 09월 27일","26,820.25","26,987.26","27,012.54","26,715.82","217.78M","-0.26%"
"2019년 09월 26일","26,891.12","27,004.11","27,015.07","26,803.84","230.80M","-0.30%"
"2019년 09월 25일","26,970.71","26,866.71","27,016.56","26,755.86","237.22M","0.61%"
"2019년 09월 24일","26,807.77","27,034.07","27,079.68","26,704.96","307.43M","-0.53%"
"2019년 09월 23일","26,949.99","26,851.45","27,011.07","26,831.34","214.83M","0.06%"
"2019년 09월 20일","26,935.07","27,102.18","27,194.75","26,926.68","512.57M","-0.59%"
"2019년 09월 19일","27,094.79","27,186.05","27,272.17","27,064.21","216.44M","-0.19%"
"2019년 09월 18일","27,147.08","27,075.39","27,161.93","26,899.15","212.86M","0.13%"
"2019년 09월 17일","27,110.80","27,010.12","27,110.80","26,984.14","223.58M","0.13%"
"2019년 09월 16일","27,076.82","27,146.06","27,172.87","27,032.56","220.62M","-0.52%"
"2019년 09월 13일","27,219.52","27,216.67","27,277.55","27,193.95","255.26M","0.14%"
"2019년 09월 12일","27,182.45","27,197.32","27,306.73","27,105.01","254.65M","0.17%"
"2019년 09월 11일","27,137.04","26,928.05","27,137.04","26,885.48","272.59M","0.85%"
"2019년 09월 10일","26,909.43","26,805.83","26,909.43","26,717.05","322.34M","0.28%"
"2019년 09월 09일","26,835.51","26,866.23","26,900.83","26,762.18","273.12M","0.14%"
"2019년 09월 06일","26,797.46","26,790.25","26,860.87","26,708.39","209.70M","0.26%"
"2019년 09월 05일","26,728.15","26,603.15","26,836.30","26,603.15","256.67M","1.41%"
"2019년 09월 04일","26,355.47","26,301.99","26,362.35","26,244.44","202.71M","0.91%"
"2019년 09월 03일","26,118.02","26,198.26","26,198.26","25,978.22","223.21M","-1.08%"
"2019년 08월 30일","26,403.28","26,476.39","26,514.62","26,295.59","219.08M","0.16%"
"2019년 08월 29일","26,362.25","26,249.09","26,408.84","26,185.71","212.19M","1.25%"
"2019년 08월 28일","26,036.10","25,712.99","26,041.57","25,637.43","207.07M","1.00%"
"2019년 08월 27일","25,777.90","26,014.46","26,054.02","25,721.85","263.53M","-0.47%"
"2019년 08월 26일","25,898.83","25,826.05","25,941.25","25,716.39","222.78M","1.05%"
"2019년 08월 23일","25,628.90","26,134.21","26,320.29","25,507.18","364.26M","-2.37%"
"2019년 08월 22일","26,252.24","26,271.64","26,388.78","26,099.01","222.81M","0.19%"
"2019년 08월 21일","26,202.73","26,145.36","26,268.32","26,141.77","208.79M","0.93%"
"2019년 08월 20일","25,962.44","26,086.86","26,160.12","25,952.00","238.10M","-0.66%"
"2019년 08월 19일","26,135.79","26,020.06","26,222.32","26,020.06","252.64M","0.96%"
