"날짜","종가","오픈","고가","저가","변동 %"
"2020년 06월 30일","0.590","0.591","0.591","0.590","3.15%"
"2020년 06월 29일","0.572","0.570","0.572","0.570","0.53%"
"2020년 06월 28일","0.569","0.569","0.569","0.569","0.00%"
"2020년 06월 27일","0.569","0.569","0.569","0.569","0.00%"
"2020년 06월 26일","0.569","0.570","0.570","0.568","1.79%"
"2020년 06월 25일","0.559","0.557","0.559","0.557","2.57%"
"2020년 06월 24일","0.545","0.545","0.545","0.545","-2.68%"
"2020년 06월 23일","0.560","0.562","0.562","0.560","-4.76%"
"2020년 06월 22일","0.588","0.594","0.594","0.588","-2.81%"
"2020년 06월 21일","0.605","0.605","0.605","0.605","0.00%"
"2020년 06월 20일","0.605","0.605","0.605","0.605","0.50%"
"2020년 06월 19일","0.602","0.605","0.605","0.582","-6.67%"
"2020년 06월 18일","0.645","0.645","0.645","0.645","-0.92%"
"2020년 06월 17일","0.651","0.651","0.651","0.651","1.09%"
"2020년 06월 16일","0.644","0.639","0.644","0.639","0.63%"
"2020년 06월 15일","0.640","0.640","0.640","0.640","6.67%"
"2020년 06월 14일","0.600","0.600","0.600","0.600","0.00%"
"2020년 06월 13일","0.600","0.600","0.600","0.600","0.00%"
"2020년 06월 12일","0.600","0.600","0.600","0.600","1.69%"
"2020년 06월 11일","0.590","0.590","0.590","0.590","-0.67%"
"2020년 06월 10일","0.594","0.594","0.594","0.594","-3.41%"
"2020년 06월 09일","0.615","0.617","0.617","0.615","-4.65%"
"2020년 06월 08일","0.645","0.645","0.645","0.645","2.38%"
"2020년 06월 07일","0.630","0.630","0.630","0.630","0.00%"
"2020년 06월 06일","0.630","0.630","0.630","0.630","0.00%"
"2020년 06월 05일","0.630","0.630","0.630","0.630","0.96%"
"2020년 06월 04일","0.624","0.625","0.625","0.622","2.13%"
"2020년 06월 03일","0.611","0.612","0.614","0.611","3.91%"
"2020년 06월 02일","0.588","0.587","0.589","0.587","0.00%"
"2020년 06월 01일","0.588","0.587","0.588","0.587","0.00%"
"2020년 05월 31일","0.588","0.588","0.588","0.588","0.00%"
"2020년 05월 30일","0.588","0.588","0.588","0.588","0.00%"
"2020년 05월 29일","0.588","0.585","0.588","0.585","-5.31%"
"2020년 05월 28일","0.621","0.622","0.622","0.621","-9.74%"
"2020년 05월 27일","0.688","0.692","0.692","0.688","-1.29%"
"2020년 05월 26일","0.697","0.700","0.700","0.697","-5.17%"
"2020년 05월 25일","0.735","0.735","0.735","0.735","0.96%"
"2020년 05월 24일","0.728","0.728","0.728","0.728","0.00%"
"2020년 05월 23일","0.728","0.728","0.728","0.728","0.00%"
"2020년 05월 22일","0.728","0.730","0.730","0.728","-0.82%"
"2020년 05월 21일","0.734","0.732","0.734","0.732","-0.81%"
"2020년 05월 20일","0.740","0.735","0.740","0.735","0.41%"
"2020년 05월 19일","0.737","0.740","0.740","0.737","0.14%"
"2020년 05월 18일","0.736","0.737","0.737","0.736","-0.81%"
"2020년 05월 17일","0.742","0.742","0.742","0.742","0.00%"
"2020년 05월 16일","0.742","0.742","0.742","0.742","-0.80%"
"2020년 05월 15일","0.748","0.753","0.753","0.748","-0.40%"
"2020년 05월 14일","0.751","0.752","0.752","0.751","0.27%"
"2020년 05월 13일","0.749","0.749","0.749","0.749","-0.66%"
"2020년 05월 12일","0.754","0.757","0.757","0.754","-1.95%"
"2020년 05월 11일","0.769","0.769","0.769","0.769","1.59%"
"2020년 05월 10일","0.757","0.757","0.757","0.757","0.00%"
"2020년 05월 09일","0.757","0.757","0.757","0.757","-0.66%"
"2020년 05월 08일","0.762","0.762","0.762","0.762","-1.55%"
"2020년 05월 07일","0.774","0.779","0.779","0.774","-1.53%"
"2020년 05월 06일","0.786","0.790","0.790","0.786","-1.13%"
"2020년 05월 05일","0.795","0.795","0.795","0.795","0.00%"
"2020년 05월 04일","0.795","0.795","0.795","0.795","-1.36%"
"2020년 05월 03일","0.806","0.806","0.806","0.806","0.00%"
"2020년 05월 02일","0.806","0.806","0.806","0.806","0.00%"
"2020년 05월 01일","0.806","0.806","0.806","0.806","0.00%"
"2020년 04월 30일","0.806","0.806","0.806","0.806","0.00%"
"2020년 04월 29일","0.806","0.805","0.807","0.805","-1.23%"
"2020년 04월 28일","0.816","0.817","0.817","0.816","-0.37%"
"2020년 04월 27일","0.819","0.817","0.819","0.817","-0.73%"
"2020년 04월 26일","0.825","0.825","0.825","0.825","0.00%"
"2020년 04월 25일","0.825","0.825","0.825","0.825","0.00%"
"2020년 04월 24일","0.825","0.825","0.825","0.825","-3.40%"
"2020년 04월 23일","0.854","0.855","0.855","0.854","-1.50%"
"2020년 04월 22일","0.867","0.865","0.867","0.865","0.81%"
"2020년 04월 21일","0.860","0.860","0.861","0.860","0.00%"
"2020년 04월 20일","0.860","0.860","0.861","0.860","-1.15%"
"2020년 04월 19일","0.870","0.870","0.870","0.870","0.00%"
"2020년 04월 18일","0.870","0.870","0.870","0.870","0.00%"
"2020년 04월 17일","0.870","0.870","0.871","0.870","0.12%"
"2020년 04월 16일","0.869","0.867","0.869","0.867","1.64%"
"2020년 04월 15일","0.855","0.855","0.855","0.855","0.00%"
"2020년 04월 14일","0.855","0.855","0.856","0.855","0.23%"
"2020년 04월 13일","0.853","0.855","0.855","0.852","1.19%"
"2020년 04월 12일","0.843","0.843","0.843","0.843","0.00%"
"2020년 04월 11일","0.843","0.843","0.843","0.843","0.00%"
"2020년 04월 10일","0.843","0.845","0.845","0.843","0.00%"
"2020년 04월 09일","0.843","0.845","0.845","0.843","-3.21%"
"2020년 04월 08일","0.871","0.871","0.871","0.871","0.11%"
"2020년 04월 07일","0.870","0.890","0.890","0.870","-2.25%"
"2020년 04월 06일","0.890","0.890","0.890","0.890","-3.78%"
"2020년 04월 05일","0.925","0.925","0.925","0.925","0.00%"
"2020년 04월 04일","0.925","0.925","0.925","0.925","0.00%"
"2020년 04월 03일","0.925","0.925","0.925","0.925","-2.63%"
"2020년 04월 02일","0.950","0.950","0.950","0.950","-4.04%"
"2020년 04월 01일","0.990","0.990","0.990","0.990","0.00%"
"2020년 03월 31일","0.990","0.990","0.990","0.990","-2.46%"
"2020년 03월 30일","1.015","1.017","1.018","1.015","2.22%"
"2020년 03월 29일","0.993","0.993","0.993","0.993","0.00%"
"2020년 03월 28일","0.993","0.993","0.993","0.993","0.00%"
"2020년 03월 27일","0.993","0.995","0.995","0.993","1.53%"
"2020년 03월 26일","0.978","0.981","0.981","0.975","-0.31%"
"2020년 03월 25일","0.981","0.980","0.982","0.980","0.41%"
"2020년 03월 24일","0.977","0.977","0.977","0.977","-1.01%"
"2020년 03월 23일","0.987","0.987","0.987","0.987","5.00%"
"2020년 03월 22일","0.940","0.940","0.940","0.940","0.00%"
"2020년 03월 21일","0.940","0.940","0.940","0.940","-1.26%"
"2020년 03월 20일","0.952","0.946","0.952","0.946","0.21%"
"2020년 03월 19일","0.950","0.950","0.950","0.950","9.83%"
"2020년 03월 18일","0.865","0.865","0.865","0.865","-1.70%"
"2020년 03월 17일","0.880","0.880","0.880","0.880","-9.28%"
"2020년 03월 16일","0.970","0.970","0.970","0.970","-6.73%"
"2020년 03월 15일","1.040","1.040","1.040","1.040","0.00%"
"2020년 03월 14일","1.040","1.040","1.040","1.040","0.00%"
"2020년 03월 13일","1.040","1.040","1.040","1.037","4.00%"
"2020년 03월 12일","1.000","1.000","1.000","1.000","0.81%"
"2020년 03월 11일","0.992","0.992","0.993","0.992","-0.10%"
"2020년 03월 10일","0.993","1.000","1.000","0.993","1.74%"
"2020년 03월 09일","0.976","0.980","0.980","0.976","-5.24%"
"2020년 03월 08일","1.030","1.030","1.030","1.030","0.00%"
"2020년 03월 07일","1.030","1.030","1.030","1.030","0.00%"
"2020년 03월 06일","1.030","1.030","1.030","1.030","-0.29%"
"2020년 03월 05일","1.033","1.030","1.033","1.030","-0.67%"
"2020년 03월 04일","1.040","1.035","1.040","1.035","-4.85%"
"2020년 03월 03일","1.093","1.100","1.100","1.093","-1.18%"
"2020년 03월 02일","1.106","1.110","1.110","1.105","0.00%"
"2020년 03월 01일","1.106","1.106","1.106","1.106","0.00%"
"2020년 02월 29일","1.106","1.106","1.106","1.106","0.00%"
"2020년 02월 28일","1.106","1.110","1.110","1.106","-3.91%"
"2020년 02월 27일","1.151","1.155","1.155","1.151","2.40%"
"2020년 02월 26일","1.124","1.126","1.126","1.124","-0.53%"
"2020년 02월 25일","1.130","1.130","1.130","1.130","-0.18%"
"2020년 02월 24일","1.132","1.130","1.132","1.130","-2.08%"
"2020년 02월 23일","1.156","1.156","1.156","1.156","0.00%"
"2020년 02월 21일","1.156","1.157","1.157","1.156","-3.26%"
"2020년 02월 20일","1.195","1.195","1.195","1.195","-1.73%"
"2020년 02월 19일","1.216","1.215","1.216","1.215","-0.08%"
"2020년 02월 18일","1.217","1.215","1.217","1.215","-1.14%"
"2020년 02월 17일","1.231","1.232","1.232","1.231","-0.08%"
"2020년 02월 16일","1.232","1.232","1.232","1.232","0.00%"
"2020년 02월 14일","1.232","1.232","1.233","1.232","1.07%"
"2020년 02월 13일","1.219","1.222","1.222","1.219","-0.57%"
"2020년 02월 12일","1.226","1.230","1.230","1.226","0.00%"
"2020년 02월 11일","1.226","1.225","1.227","1.225","-0.33%"
"2020년 02월 10일","1.230","1.230","1.230","1.230","0.00%"
"2020년 02월 09일","1.230","1.230","1.230","1.230","0.00%"
"2020년 02월 08일","1.230","1.230","1.230","1.230","0.00%"
"2020년 02월 07일","1.230","1.230","1.230","1.230","-0.97%"
"2020년 02월 06일","1.242","1.240","1.242","1.240","-0.56%"
"2020년 02월 05일","1.249","1.250","1.250","1.249","-0.87%"
"2020년 02월 04일","1.260","1.260","1.260","1.260","0.08%"
"2020년 02월 03일","1.259","1.260","1.260","1.259","-0.47%"
"2020년 02월 02일","1.265","1.265","1.265","1.265","0.00%"
"2020년 02월 01일","1.265","1.265","1.265","1.265","0.00%"
"2020년 01월 31일","1.265","1.267","1.267","1.265","-0.32%"
"2020년 01월 30일","1.269","1.272","1.272","1.268","-1.25%"
"2020년 01월 29일","1.285","1.287","1.287","1.285","-1.08%"
"2020년 01월 28일","1.299","1.297","1.299","1.297","-1.22%"
"2020년 01월 27일","1.315","1.315","1.315","1.315","0.00%"
"2020년 01월 26일","1.315","1.315","1.315","1.315","0.00%"
"2020년 01월 25일","1.315","1.315","1.315","1.315","0.00%"
"2020년 01월 24일","1.315","1.315","1.315","1.315","0.00%"
"2020년 01월 23일","1.315","1.315","1.316","1.315","-0.98%"
"2020년 01월 22일","1.328","1.297","1.339","1.297","0.99%"
"2020년 01월 21일","1.315","1.317","1.317","1.315","-1.79%"
"2020년 01월 20일","1.339","1.339","1.339","1.339","0.68%"
"2020년 01월 19일","1.330","1.330","1.330","1.330","0.00%"
"2020년 01월 18일","1.330","1.330","1.330","1.330","0.00%"
"2020년 01월 17일","1.330","1.330","1.331","1.330","0.00%"
"2020년 01월 16일","1.330","1.332","1.332","1.330","1.29%"
"2020년 01월 15일","1.313","1.315","1.315","1.313","0.31%"
"2020년 01월 14일","1.309","1.312","1.312","1.309","-0.08%"
"2020년 01월 13일","1.310","1.310","1.310","1.310","0.00%"
"2020년 01월 12일","1.310","1.310","1.310","1.310","0.00%"
"2020년 01월 11일","1.310","1.310","1.310","1.310","0.00%"
"2020년 01월 10일","1.310","1.312","1.312","1.310","0.00%"
"2020년 01월 09일","1.310","1.312","1.312","1.310","1.08%"
"2020년 01월 08일","1.296","1.296","1.296","1.296","-0.61%"
"2020년 01월 07일","1.304","1.307","1.307","1.304","0.54%"
"2020년 01월 06일","1.297","1.295","1.297","1.295","-0.15%"
"2020년 01월 05일","1.299","1.299","1.299","1.299","0.00%"
"2020년 01월 04일","1.299","1.299","1.299","1.299","-1.37%"
"2020년 01월 03일","1.317","1.317","1.317","1.317","-0.90%"
"2020년 01월 02일","1.329","1.327","1.329","1.327","-0.82%"
"2020년 01월 01일","1.340","1.340","1.340","1.340","0.00%"
"2019년 12월 31일","1.340","1.340","1.342","1.340","0.00%"
"2019년 12월 30일","1.340","1.337","1.340","1.337","-0.15%"
"2019년 12월 29일","1.342","1.342","1.342","1.342","0.00%"
"2019년 12월 28일","1.342","1.342","1.342","1.342","-0.89%"
"2019년 12월 27일","1.354","1.349","1.354","1.349","0.97%"
