"날짜","종가","오픈","고가","저가","변동 %"
"2019년 07월 30일","1.295","1.302","1.302","1.295","-0.54%"
"2019년 07월 29일","1.302","1.302","1.304","1.302","-0.53%"
"2019년 07월 28일","1.309","1.309","1.309","1.309","0.00%"
"2019년 07월 27일","1.309","1.309","1.309","1.309","0.00%"
"2019년 07월 26일","1.309","1.312","1.312","1.309","-0.38%"
"2019년 07월 25일","1.314","1.317","1.317","1.314","-1.35%"
"2019년 07월 24일","1.332","1.350","1.350","1.332","-1.11%"
"2019년 07월 23일","1.347","1.347","1.347","1.347","-0.44%"
"2019년 07월 22일","1.353","1.355","1.355","1.353","-0.15%"
"2019년 07월 21일","1.355","1.355","1.355","1.355","0.00%"
"2019년 07월 20일","1.355","1.355","1.355","1.355","0.00%"
"2019년 07월 19일","1.355","1.355","1.355","1.355","-1.24%"
"2019년 07월 18일","1.372","1.389","1.389","1.372","-3.38%"
"2019년 07월 17일","1.420","1.420","1.420","1.420","-2.07%"
"2019년 07월 16일","1.450","1.452","1.452","1.450","-1.02%"
"2019년 07월 15일","1.465","1.463","1.465","1.460","0.62%"
"2019년 07월 14일","1.456","1.456","1.456","1.456","0.00%"
"2019년 07월 13일","1.456","1.456","1.456","1.456","0.00%"
"2019년 07월 12일","1.456","1.455","1.457","1.455","-0.21%"
"2019년 07월 11일","1.459","1.457","1.459","1.457","-1.35%"
"2019년 07월 10일","1.479","1.480","1.480","1.478","0.00%"
"2019년 07월 09일","1.479","1.480","1.480","1.478","0.00%"
"2019년 07월 08일","1.479","1.477","1.479","1.477","-0.07%"
"2019년 07월 07일","1.480","1.480","1.480","1.480","0.00%"
"2019년 07월 06일","1.480","1.480","1.480","1.480","0.00%"
"2019년 07월 05일","1.480","1.480","1.480","1.480","-0.54%"
"2019년 07월 04일","1.488","1.488","1.488","1.488","-0.20%"
"2019년 07월 03일","1.491","1.495","1.495","1.490","-1.00%"
"2019년 07월 02일","1.506","1.510","1.510","1.505","-0.33%"
"2019년 07월 01일","1.511","1.510","1.512","1.510","0.13%"
"2019년 06월 30일","1.509","1.509","1.509","1.509","0.00%"
"2019년 06월 29일","1.509","1.509","1.509","1.509","0.00%"
"2019년 06월 28일","1.509","1.507","1.509","1.507","0.00%"
"2019년 06월 27일","1.509","1.510","1.510","1.508","0.73%"
"2019년 06월 26일","1.498","1.497","1.498","1.497","1.15%"
"2019년 06월 25일","1.481","1.485","1.485","1.481","0.89%"
"2019년 06월 24일","1.468","1.467","1.468","1.467","-0.20%"
