"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 09월 03일","1,478.32","1,490.72","1,493.13","1,470.36","-","-1.77%"
"2019년 08월 30일","1,504.92","1,510.98","1,517.34","1,497.09","-","0.61%"
"2019년 08월 29일","1,495.82","1,487.98","1,505.38","1,487.98","-","2.25%"
"2019년 08월 28일","1,462.85","1,446.92","1,464.78","1,437.40","-","0.60%"
"2019년 08월 27일","1,454.12","1,470.73","1,475.44","1,445.85","-","-0.33%"
"2019년 08월 26일","1,458.88","1,467.68","1,469.40","1,452.99","-","0.86%"
"2019년 08월 23일","1,446.38","1,494.07","1,505.20","1,441.97","-","-4.36%"
"2019년 08월 22일","1,512.25","1,515.78","1,520.20","1,497.04","-","-0.03%"
"2019년 08월 21일","1,512.72","1,512.60","1,519.35","1,505.97","-","0.92%"
"2019년 08월 20일","1,498.90","1,502.57","1,509.44","1,491.14","-","-0.54%"
"2019년 08월 19일","1,506.99","1,513.12","1,519.30","1,499.49","-","1.88%"
"2019년 08월 16일","1,479.25","1,454.69","1,482.69","1,454.69","-","2.78%"
"2019년 08월 15일","1,439.29","1,448.54","1,452.67","1,427.23","-","-0.23%"
"2019년 08월 14일","1,442.54","1,452.28","1,465.95","1,435.50","-","-3.16%"
"2019년 08월 13일","1,489.66","1,446.98","1,501.20","1,436.80","-","2.95%"
"2019년 08월 12일","1,446.98","1,453.29","1,464.22","1,439.99","-","-1.19%"
"2019년 08월 09일","1,464.34","1,476.53","1,481.33","1,455.20","-","-1.81%"
"2019년 08월 08일","1,491.26","1,464.45","1,491.57","1,455.32","-","2.70%"
"2019년 08월 07일","1,452.12","1,424.88","1,455.53","1,423.61","-","0.72%"
"2019년 08월 06일","1,441.77","1,448.71","1,459.72","1,425.87","-","1.28%"
"2019년 08월 05일","1,423.52","1,443.24","1,446.01","1,411.73","-","-4.36%"
"2019년 08월 02일","1,488.43","1,494.52","1,508.61","1,476.41","-","-1.56%"
"2019년 08월 01일","1,511.98","1,539.06","1,579.49","1,498.89","-","-1.97%"
"2019년 07월 31일","1,542.44","1,581.95","1,583.90","1,527.38","-","-3.22%"
"2019년 07월 30일","1,593.82","1,579.10","1,597.89","1,578.15","-","-0.26%"
"2019년 07월 29일","1,598.02","1,592.35","1,600.53","1,578.21","-","0.26%"
"2019년 07월 26일","1,593.86","1,604.24","1,605.74","1,593.50","-","-0.02%"
"2019년 07월 25일","1,594.12","1,606.64","1,608.75","1,590.36","-","-1.72%"
"2019년 07월 24일","1,622.02","1,589.41","1,625.11","1,589.41","-","3.10%"
"2019년 07월 23일","1,573.27","1,562.26","1,573.41","1,556.18","-","1.23%"
"2019년 07월 22일","1,554.09","1,535.68","1,556.39","1,535.68","-","1.98%"
"2019년 07월 19일","1,523.91","1,530.07","1,538.87","1,523.42","-","-0.20%"
"2019년 07월 18일","1,526.97","1,504.78","1,530.00","1,504.51","-","1.54%"
"2019년 07월 17일","1,503.87","1,508.24","1,511.71","1,500.65","-","0.28%"
"2019년 07월 16일","1,499.64","1,506.67","1,508.47","1,492.58","-","-1.07%"
"2019년 07월 15일","1,515.92","1,512.57","1,521.63","1,508.03","-","0.77%"
"2019년 07월 12일","1,504.28","1,482.56","1,504.66","1,482.36","-","1.90%"
"2019년 07월 11일","1,476.28","1,476.75","1,481.65","1,467.35","-","0.32%"
"2019년 07월 10일","1,471.51","1,474.55","1,492.34","1,469.81","-","0.70%"
"2019년 07월 09일","1,461.21","1,440.43","1,462.81","1,440.11","-","0.74%"
"2019년 07월 08일","1,450.41","1,448.86","1,455.19","1,442.57","-","-0.77%"
"2019년 07월 05일","1,461.70","1,454.14","1,464.07","1,446.53","-","-0.60%"
"2019년 07월 03일","1,470.49","1,474.50","1,474.62","1,460.15","-","-0.43%"
"2019년 07월 02일","1,476.83","1,491.27","1,491.27","1,470.95","-","-1.38%"
"2019년 07월 01일","1,497.55","1,524.14","1,531.37","1,486.31","-","2.65%"
"2019년 06월 28일","1,458.96","1,469.49","1,471.85","1,455.97","-","0.14%"
"2019년 06월 27일","1,456.90","1,447.78","1,464.85","1,446.17","-","1.47%"
"2019년 06월 26일","1,435.83","1,420.01","1,444.15","1,419.92","-","3.21%"
"2019년 06월 25일","1,391.12","1,413.75","1,420.34","1,390.33","-","-1.48%"
"2019년 06월 24일","1,412.08","1,412.74","1,417.97","1,407.69","-","0.11%"
"2019년 06월 21일","1,410.50","1,414.26","1,424.84","1,408.79","-","-0.74%"
"2019년 06월 20일","1,421.03","1,439.86","1,441.39","1,413.82","-","0.98%"
"2019년 06월 19일","1,407.30","1,414.52","1,416.92","1,400.31","-","0.08%"
"2019년 06월 18일","1,406.16","1,364.82","1,415.43","1,362.26","-","4.33%"
"2019년 06월 17일","1,347.86","1,357.33","1,361.87","1,346.90","-","-0.64%"
"2019년 06월 14일","1,356.55","1,351.17","1,363.22","1,347.99","-","-2.61%"
"2019년 06월 13일","1,392.94","1,392.85","1,398.31","1,382.65","-","0.58%"
"2019년 06월 12일","1,384.95","1,404.71","1,405.31","1,383.66","-","-2.33%"
"2019년 06월 11일","1,418.02","1,438.96","1,440.80","1,408.38","-","0.29%"
"2019년 06월 10일","1,413.89","1,399.13","1,430.42","1,398.91","-","2.54%"
"2019년 06월 07일","1,378.81","1,369.62","1,382.63","1,365.71","-","1.15%"
"2019년 06월 06일","1,363.13","1,348.06","1,368.71","1,342.65","-","1.34%"
"2019년 06월 05일","1,345.10","1,365.31","1,369.53","1,328.20","-","-0.75%"
"2019년 06월 04일","1,355.26","1,323.13","1,356.26","1,312.73","-","4.21%"
"2019년 06월 03일","1,300.52","1,313.32","1,324.80","1,293.11","-","0.33%"
"2019년 05월 31일","1,296.18","1,298.12","1,317.45","1,295.17","-","-1.45%"
"2019년 05월 30일","1,315.29","1,309.97","1,325.78","1,305.29","-","0.74%"
