"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 08월 09일","1,534.50","1,542.80","1,543.80","1,535.00","0.09K","-0.03%"
"2019년 08월 08일","1,535.00","1,533.00","1,542.10","1,532.60","0.06K","-0.62%"
"2019년 08월 07일","1,544.60","1,510.60","1,547.70","1,510.60","0.11K","2.31%"
"2019년 08월 06일","1,509.70","1,507.20","1,511.10","1,498.60","0.14K","0.47%"
"2019년 08월 05일","1,502.60","1,487.40","1,505.00","1,487.40","0.07K","1.16%"
"2019년 08월 02일","1,485.30","1,476.20","1,476.20","1,476.20","0.08K","1.63%"
"2019년 08월 01일","1,461.50","1,450.80","1,485.60","1,443.30","0.15K","-0.33%"
"2019년 07월 31일","1,466.30","1,460.50","1,469.60","1,452.90","0.13K","-0.27%"
"2019년 07월 30일","1,470.30","1,469.00","1,472.40","1,469.00","0.02K","0.59%"
"2019년 07월 29일","1,461.70","1,452.30","1,454.40","1,444.00","1.05K","0.09%"
"2019년 07월 26일","1,460.40","1,444.00","1,449.60","1,442.00","0.56K","0.41%"
"2019년 07월 25일","1,454.40","1,465.10","1,468.00","1,456.10","0.81K","-0.58%"
"2019년 07월 24일","1,462.90","1,467.20","1,467.20","1,467.20","0.04K","0.14%"
"2019년 07월 23일","1,460.80","1,458.60","1,459.60","1,458.60","0.25K","-0.35%"
"2019년 07월 22일","1,466.00","1,453.60","1,456.90","1,451.60","0.61K","0.03%"
"2019년 07월 19일","1,465.50","1,483.30","1,487.40","1,461.50","0.02K","-0.12%"
"2019년 07월 18일","1,467.20","1,464.40","1,488.50","1,459.40","0.02K","0.32%"
"2019년 07월 17일","1,462.50","1,455.00","1,467.30","1,455.00","0.02K","0.85%"
"2019년 07월 16일","1,450.20","1,453.40","1,453.40","1,453.40","0.02K","-0.14%"
"2019년 07월 15일","1,452.30","1,441.00","1,443.70","1,441.00","0.99K","0.10%"
"2019년 07월 12일","1,450.90","1,437.20","1,440.60","1,436.50","0.05K","0.39%"
"2019년 07월 11일","1,445.30","1,461.40","1,467.20","1,461.40","0.01K","-0.36%"
"2019년 07월 10일","1,450.50","1,421.20","1,446.40","1,421.20","0.07K","0.85%"
"2019년 07월 09일","1,438.30","1,430.60","1,430.80","1,430.60","0.02K","0.07%"
"2019년 07월 08일","1,437.30","1,436.90","1,436.90","1,436.90","0.05K","0.05%"
"2019년 07월 05일","1,436.60","1,428.00","1,433.00","1,428.00","0.02K","0.92%"
"2019년 07월 04일","1,423.55","1,421.25","1,426.65","1,412.85","-","-2.23%"
"2019년 07월 03일","1,456.00","1,465.50","1,465.50","1,461.90","0.00K","0.91%"
"2019년 07월 02일","1,442.80","1,428.60","1,428.60","1,428.60","0.07K","1.35%"
"2019년 07월 01일","1,423.60","1,444.00","1,444.00","1,424.40","0.01K","-1.60%"
"2019년 06월 28일","1,446.80","1,451.00","1,451.00","1,445.70","0.06K","0.16%"
"2019년 06월 27일","1,444.50","1,433.80","1,434.90","1,429.50","0.06K","-0.23%"
"2019년 06월 26일","1,447.80","1,441.90","1,445.40","1,440.50","0.04K","-0.24%"
"2019년 06월 25일","1,451.30","1,461.30","1,473.90","1,448.70","0.09K","0.03%"
"2019년 06월 24일","1,450.90","1,439.10","1,449.60","1,439.00","0.01K","1.27%"
"2019년 06월 21일","1,432.70","1,444.00","1,444.00","1,419.60","0.02K","0.23%"
"2019년 06월 20일","1,429.40","1,419.10","1,428.70","1,417.40","0.41K","3.25%"
"2019년 06월 19일","1,384.40","1,382.10","1,382.10","1,382.10","0.09K","-0.22%"
"2019년 06월 18일","1,387.40","1,379.70","1,394.50","1,379.70","0.18K","0.57%"
"2019년 06월 17일","1,379.60","1,379.70","1,384.20","1,379.70","0.02K","-0.14%"
"2019년 06월 14일","1,381.50","1,389.20","1,389.20","1,379.80","0.04K","0.06%"
"2019년 06월 13일","1,380.70","1,378.30","1,378.70","1,378.30","0.00K","0.50%"
"2019년 06월 12일","1,373.80","1,365.20","1,365.80","1,363.00","0.01K","0.35%"
"2019년 06월 11일","1,369.00","1,350.50","1,356.10","1,350.50","1.01K","0.15%"
"2019년 06월 10일","1,366.90","1,378.00","1,378.00","1,367.00","0.01K","-1.09%"
"2019년 06월 07일","1,381.90","1,388.50","1,388.50","1,382.40","0.05K","0.25%"
"2019년 06월 06일","1,378.50","1,370.00","1,370.00","1,370.00","0.09K","0.61%"
"2019년 06월 05일","1,370.20","1,376.60","1,376.60","1,368.80","0.16K","0.27%"
"2019년 06월 04일","1,366.50","1,352.20","1,352.20","1,352.10","0.03K","0.09%"
"2019년 06월 03일","1,365.30","1,356.50","1,356.50","1,356.50","0.07K","1.16%"
"2019년 05월 31일","1,349.60","1,342.90","1,347.80","1,342.90","0.22K","1.25%"
"2019년 05월 30일","1,332.90","1,332.40","1,332.40","1,332.40","0.33K","0.48%"
"2019년 05월 29일","1,326.50","1,327.80","1,327.80","1,327.80","0.00K","0.24%"
"2019년 05월 28일","1,323.30","1,322.60","1,322.60","1,322.60","0.12K","2.98%"
"2019년 05월 27일","1,284.95","1,284.25","1,286.85","1,283.25","-","0.06%"
"2019년 05월 26일","1,284.15","1,284.20","1,285.15","1,283.65","-","-3.45%"
"2019년 05월 24일","1,330.10","1,329.20","1,329.20","1,329.20","0.00K","-0.13%"
"2019년 05월 23일","1,331.80","1,328.40","1,328.40","1,328.40","0.00K","0.79%"
"2019년 05월 22일","1,321.30","1,306.90","1,306.90","1,306.90","0.02K","0.09%"
"2019년 05월 21일","1,320.10","1,304.80","1,304.90","1,302.90","0.10K","-0.31%"
"2019년 05월 20일","1,324.20","1,307.00","1,309.70","1,307.00","0.08K","0.13%"
"2019년 05월 17일","1,322.50","1,318.90","1,320.70","1,309.80","0.21K","-0.80%"
"2019년 05월 16일","1,333.10","1,326.80","1,326.80","1,318.40","0.11K","-0.85%"
"2019년 05월 15일","1,344.50","1,332.60","1,334.00","1,329.50","0.06K","0.08%"
"2019년 05월 14일","1,343.40","1,332.20","1,332.20","1,330.10","0.20K","-0.50%"
